fusion_gene
ABL1-BCR
ABL1-ETV6
ABL1-NUP214
ACIN1-C15orf55
ACIN1-NUTM1
AFF1-CCDC84
AFF1-KMT2A
ARID1B-ZNF384
AUTS2-ITPR2
AUTS2-PAX5
AUTS2-UHRF1
AUTS-PAX5
BANP-PDGFRB
BCL9-MEF2D
BCR-ABL1
BCR-JAK2
BLM-EPC1
BRCA2-NBEA
BRD9-NUTM1
CD74-CAMK2A
CDCA7L-IRF8
CDK6-ICA1
CENPK-PTPRA
CPSF3-CAPRIN1
CRLF2-P2RY8
CUX1-NUTM1
CUX1-UHRF1
ELF1-FOXO1
EP300-ZNF384
ERBB4-IKZF2
ETV6-ABL1
ETV6-ACSL6
ETV6-ARNT
ETV6-GTF3C1
ETV6-HOXA-AS4
ETV6-MN1
ETV6-MYLK4
ETV6-NTRK3
ETV6-RUNX1
ETV6-TNFRSF13B
EVX1-RUNX1
EWSR1-PBX1
FBRSL1-PAX5
FIP1L1-PDGFRA
FOXO1-ELF1
FOXP1-PAX5
GPR128-TGF
GTF2I-PAX5
HLF-TCF3
HOOK3-FGFR1
HOXD13-NUP98
IKFZ1-DDC
IKZF1-ABHD3
IKZF1-BRAT1
IKZF1-CCNT1
IKZF1-DLG2
IKZF1-ETV6
IKZF1-FAM160B2
IKZF1-KIAA1549
IKZF2-ERBB4
JAK2-ATF7IP
JAK2-MPRIP
JAK2-PAX5
JAK2-PPFIBP1
JAK2-TERF2
JAK2-ZEB2
KAT6A-CREBBP
KAT6B-NHLRC2
KATA6A-CREBBP
KCNIP1-RUNX1
KMT2A-AFF1
KMT2A-AFF4
KMT2A-ELL
KMT2A-MLLT1
KMT2A-MLLT10
KMT2A-MLLT3
KMT2A-MLLT4
LINC01251-PAX5
LOH12CR1-CHST11
MBNL1-ABL1
MDN1-RUNX1
MEF2D-BCL9
MEF2D-CCDC102B
MEF2D-HNRNPUL1
MLL-GAS7
MLL-MLLT1
MLLT10-DDX3X
MLLT10-DNAJC1
MLLT10-PICALM
MLLT3-KMT2A
MLLT3-MLL
MLLT3-ZCCHC7
MN1-ETV6-Fusion
MSI2-MRC2
MSRA-FLT1
MYB-GATA1
MYH11-CBFB
NSD1-NUP98
NUP214::ETV6
NUP214-LAMC3
NUP214-SET
NUTM1-ACIN1
P2RY8-CRLF2
PAX5-ARHGAP22
PAX5-AUTS2
PAX5-C20orf112
PAX5-C20orf643
PAX5-CBFA2T3
PAX5-COMMD7
PAX5-CPSF7
PAX5-DACH1
PAX5-DACH2
PAX5-ELN
PAX5-ESRRB
PAX5-ETV6
PAX5-FBRSL1
PAX5-FKBP15
PAX5-JAK2
PAX5-KANK2
PAX5-LINC01400
PAX5-MPRIP
PAX5-NCOA5
PAX5-PML
PAX5-PRPF19
PAX5-RHOXF2B
PAX5-RPN2
PAX5-RUNX1
PAX5-SIGMAR1
PAX5-SOX5
PAX5-THSB1
PAX5-WDR5
PAX5-ZCCHC7
PAX5-ZEB1
PAX5-ZNF521
PAX-GNE
PBX1-TCF3
PCM1-FGFR1
PCM1-JAK2
PDGFRB-CCDC88C
PDGFRB-EBF1
PICALM-MLLT10
PML-RARA
PTEN-PDZD8
RASAL2-ABL2
RCSD1-ABL2
ROS1-CEP85L
RUNX1-DERA
RUNX1-EVA1C
RUNX1-HTR7
RUNX1-PCP4
RUNX1-RUNX1T1
RUNX1T1-RUNX1
SEC24B-ZNF384
SETD1-CCDC12
SFPQ-ZFP36L2
SLC24A2-PAX5
SLC4A1AP-ETV6
SNRPD2-MYH9
SPI1-ZNF384
SREBF1-CIC
SSBP2-CSF1R
TAOK1-ERP29
TCF3-FLI1
TCF3-HLF
TCF3-PBX1
TCF3-ZNF384
TEL-AML1
TERF2-JAK2
TERF2-JAK2
THRAP3-GHR
THRAP3-PAX5
TKT-KMT2A
TTYH3-PDGFA
UBAP1-KMT2A
USH2A-RUNX1
XIAP-STAG2
XPO1-TNRC18
ZCCHC7-CNTRL
ZMYM2-ESD
ZNF362-TCF3
ZNF384-C11orf74
ZNF384-CREBBP
ZNF384-EP300
ZNF384-EWSR1
ZNF384-SMARCA2
ZNF384-SORL1
ZNF384-TAF15
ZNF384-TCF3
ZNF618-NUTM1
